ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2025-01-03T07:03:36Z,windows,163516,IN,122.161.75.127,pia <3,Zaeden,pia <3,spotify:track:2f9Gjj4cZaOavIweKg0nfj,,,,,,,,playbtn,endplay,False,True,False,1735887734,False
2025-01-03T07:08:08Z,windows,188256,IN,122.161.75.127,AANKH,Sunidhi Chauhan,AANKH,spotify:track:1EZzUDV9IdzLVgmz7v86nx,,,,,,,,playbtn,endplay,False,True,False,1735887981,False
2025-01-03T19:40:38Z,windows,4651,IN,122.161.75.127,AANKH,Sunidhi Chauhan,AANKH,spotify:track:1EZzUDV9IdzLVgmz7v86nx,,,,,,,,trackdone,endplay,False,True,False,1735888169,False
2025-01-03T19:44:20Z,windows,222500,IN,122.161.75.127,"Duniyaa (From ""Luka Chuppi"")",Akhil,"Duniyaa (From ""Luka Chuppi"")",spotify:track:2tjWCe2W7sgvS3C8NHcdtI,,,,,,,,clickrow,trackdone,True,False,False,1735933320,False
2025-01-03T19:47:22Z,windows,181250,IN,122.161.75.127,Mahiye Jinna Sohna,Darshan Raval,Mahiye Jinna Sohna,spotify:track:2ncqKdTj6dz7tWoTMMrAtq,,,,,,,,trackdone,trackdone,True,False,False,1735933542,False
2025-01-03T19:53:29Z,windows,339644,IN,122.161.75.127,Teri Ore,Pritam,Singh Is Kinng (Original Motion Picture Soundtrack),spotify:track:5aU0fpmu2sdYJVOHVHCz5s,,,,,,,,trackdone,trackdone,True,False,False,1735933751,False
2025-01-03T19:58:08Z,windows,278401,IN,122.161.75.127,"Roke Na Ruke Naina (From ""Badrinath Ki Dulhania"")",Arijit Singh,Ultimate Love Songs - Arijit Singh,spotify:track:0ZyJDDqBjI0rDnn31qHgbg,,,,,,,,trackdone,trackdone,True,False,False,1735934091,False
2025-01-03T19:59:13Z,windows,41915,IN,122.161.75.127,Mann Dhaaga,Yashraj Mukhate,Mann Dhaaga,spotify:track:5JPWH4s8MuHymY00XBBVLH,,,,,,,,trackdone,fwdbtn,True,True,False,1735934391,False
2025-01-03T19:59:16Z,windows,2247,IN,122.161.75.127,"Chashni (From ""Bharat"")",Abhijeet Srivastava,"Chashni (From ""Bharat"")",spotify:track:5X5db3FrBOHbibrFKA02MQ,,,,,,,,fwdbtn,fwdbtn,True,True,False,1735934434,False
2025-01-03T19:59:21Z,windows,5201,IN,122.161.75.127,Khuda Jaane,Vishal-Shekhar,Bachna Ae Haseeno,spotify:track:0gPgdRfB4jdGrlyXS0Vx78,,,,,,,,fwdbtn,fwdbtn,True,True,False,1735934437,False
